feature,importance
i,0.10151314967107576
n,0.09258789501202633
v,0.0870128305867945
lOCode,0.08487344753263225
total_Opnd,0.07641673865242883
loc,0.07450056268620033
t,0.06544273870824822
e,0.059677060683793574
total_Op,0.057587845745762076
uniq_Opnd,0.05384437317328039
b,0.05112823157346534
d,0.04650169459661321
lOBlank,0.025159789328669264
l,0.024834918832250995
uniq_Op,0.02413147605508348
locCodeAndComment,0.014447491842191268
v(g),0.013767403815571651
lOComment,0.012870661068653791
branchCount,0.011922602182065315
iv(g),0.011707151203349262
ev(g),0.010071937049844243
